DIVA;PlatformText;Municipality;MunicipalityID;Longitude;Latitude
60200221;Dampfschiffhaufen;Wien;49000001;48.2171369;16.4322257
60200222;Danzergasse;Wien;49000001;48.2087804;16.4884064
60200223;Daphneweg;Wien;49000001;48.244352;16.5302499
60200224;Daringergasse;Wien;49000001;48.2466312;16.3347316
60200225;Davidgasse;Wien;49000001;48.1754724;16.3563271
60200226;Deindorfstraße;Wien;49000001;48.2169274;16.5432395
60200227;Deißenhofergasse;Wien;49000001;48.1584088;16.2801679
60200228;Laxenburger Str./Heizwerkstr.;Wien;49000001;48.1396072;16.3587435
60200229;Dietmayrgasse;Wien;49000001;48.2392129;16.3685531
60200230;Dirnelwiese;Wien;49000001;48.2930254;16.3792611
60200231;Dobrowskygasse;Wien;49000001;48.1434855;16.3319737
60200232;Zehdengasse;Wien;49000001;48.2594911;16.4381816
60200233;Dommayergasse;Wien;49000001;48.1864517;16.298781
60200234;Donauinsel;Wien;49000001;48.2289989;16.4109806
60200235;Floridsdorfer Brücke;Wien;49000001;48.2485993;16.3878669
60200236;Donaustadtstraße;Wien;49000001;48.2336843;16.4436882
60200237;Donauwarte;Wien;49000001;48.2845557;16.3459785
60200238;Siebeckstraße;Wien;49000001;48.2418333;16.4346512
60200239;Dopschstraße;Wien;49000001;48.2692386;16.4388283
60200240;Dorfmeistergasse;Wien;49000001;48.1645267;16.2961759
60200241;Dornbacher Straße;Wien;49000001;48.2281611;16.3018712
60200242;Dostalgasse;Wien;49000001;48.159835;16.2632885
60200243;Dostgasse;Wien;49000001;48.2201535;16.2531735
60200244;Dr.-Adolf-Schärf-Heim;Wien;49000001;48.2458296;16.3698826
60200245;Stubentor;Wien;49000001;48.2070682;16.3802761
60200246;Ring/Volkstheater U;Wien;49000001;48.2067808;16.3598574
60200247;Dr.-Neumann-Gasse;Wien;49000001;48.1381804;16.2882258
60200248;Dr.-Schober-Straße;Wien;49000001;48.1667316;16.2728736
60200249;Draugasse;Wien;49000001;48.2854703;16.4386307
60200250;Dunantgasse;Wien;49000001;48.2600294;16.3889269
60200251;Dänenstraße;Wien;49000001;48.2371008;16.3345519
60200252;Döblinger Bad;Wien;49000001;48.2511595;16.3569828
60200253;Döblinger Friedhof;Wien;49000001;48.2393445;16.3285781
60200254;Döblinger Steg;Wien;49000001;48.2407744;16.3654
60200255;Dörmanngasse;Wien;49000001;48.2226673;16.5341486
60200256;Kraftwerk Simmering;Wien;49000001;48.1835828;16.4299081
60200257;Eberstorferweg;Wien;49000001;48.1546515;16.2800601
60200258;Edelsteingasse;Wien;49000001;48.262296;16.4256051
60200259;Edenstraße;Wien;49000001;48.2148025;16.2463284
60200260;Strebersdorf, Edmund-Hawranek-Platz;Wien;49000001;48.2914057;16.3865464
60200261;Eduard-Kittenberger-Gasse;Wien;49000001;48.1368196;16.3032187
60200262;Albrechtskreithgasse;Wien;49000001;48.2192797;16.3204663
60200263;Egon-Friedell-Gasse;Wien;49000001;48.2738904;16.4364119
60200264;Eibesbrunnergasse;Wien;49000001;48.1710333;16.3374624
60200266;Eichbachgasse;Wien;49000001;48.2219491;16.2472896
60200267;Eichenstraße;Wien;49000001;48.1804263;16.3498412
60200268;Einsiedeleigasse;Wien;49000001;48.1833852;16.2643486
60200269;Einsiedlerplatz;Wien;49000001;48.1852599;16.3494729
60200270;Luzegasse;Wien;49000001;48.1608237;16.4501561
60200271;Eipeldauer Straße;Wien;49000001;48.2630794;16.4365915
60200272;Eisenstadtplatz;Wien;49000001;48.1694757;16.3845701
60200273;Eisstoßgasse;Wien;49000001;48.217933;16.4409124
60200274;Elderschplatz;Wien;49000001;48.2179449;16.4122562
60200275;Elsbeergasse;Wien;49000001;48.2184836;16.2544042
60200276;Elterleinplatz;Wien;49000001;48.2181784;16.3310575
60200277;Embelgasse;Wien;49000001;48.1826904;16.3522667
60200278;Endemanngasse;Wien;49000001;48.1530933;16.2904356
60200279;Engerthstraße/Innstraße;Wien;49000001;48.2333193;16.3927897
60200280;Engerthstraße/Traisengasse;Wien;49000001;48.236329;16.3892234
60200281;Englisch-Feld-Gasse;Wien;49000001;48.20981;16.5363315
60200282;Donaumarina;Wien;49000001;48.2061223;16.4309681
60200283;Erdbergstr./Schlachthausgasse;Wien;49000001;48.1952909;16.4079712
60200285;Erlaaer Straße;Wien;49000001;48.1418491;16.3165317
60200286;Erlachplatz;Wien;49000001;48.1786353;16.3690023
60200287;Erndtgasse;Wien;49000001;48.2373222;16.3226582
60200288;Erzherzog-Karl-Straße;Wien;49000001;48.2295674;16.4532283
60200289;Erdberg;Wien;49000001;48.1915243;16.4139989
60200290;Donaustadtbrücke;Wien;49000001;48.2117915;16.4401309
60200291;Eselstiege;Wien;49000001;48.2243909;16.2868154
60200292;Eslarngasse;Wien;49000001;48.1967281;16.3958799
60200293;Esterházygasse;Wien;49000001;48.1951113;16.3508923
60200294;Etrichstraße;Wien;49000001;48.1484365;16.4614389
60200295;Daumegasse;Wien;49000001;48.1639336;16.3745539
60200296;Evangelischer Friedhof;Wien;49000001;48.1798572;16.3602437
60200297;Eßling Schule;Wien;49000001;48.2140902;16.5263602
60200298;Eßling Friedhof;Wien;49000001;48.216263;16.5316513
60200299;Aspernstraße;Wien;49000001;48.2226373;16.4749586
60200300;Fasangasse;Wien;49000001;48.1884101;16.3850282
60200301;Heiligenstadt S+U/12.-Februar-Platz;Wien;49000001;48.2489283;16.3627141
60200302;Diesterweggasse;Wien;49000001;48.1937579;16.3063358
60200303;Wattmanng./Elisabethallee;Wien;49000001;48.1764668;16.2952147
60200304;Döblinger Friedhof/Felix-Dahn-Str.;Wien;49000001;48.2400325;16.3260808
60200305;Felmayergasse;Wien;49000001;48.2719532;16.4320371
60200306;Fendigasse;Wien;49000001;48.1839362;16.3557881
60200307;Sonnleithnergasse;Wien;49000001;48.1789827;16.3630105
60200308;Gspöttgraben;Wien;49000001;48.255783;16.314753
60200309;Fernsprechamt Heiligenstadt;Wien;49000001;48.2540784;16.3597766
60200311;Feuerwache Am Steinhof;Wien;49000001;48.2153352;16.2780569
